condition,cell_type,n,total,proportion
3dpi_CTRL,Astrocyte,1706,5407,0.3155169225078602
3dpi_CTRL,B_cell,35,5407,0.006473090438320696
3dpi_CTRL,Endothelial,210,5407,0.03883854262992417
3dpi_CTRL,Macrophage,645,5407,0.11928980950619567
3dpi_CTRL,Microglia,809,5407,0.14962086184575552
3dpi_CTRL,Neuron,866,5407,0.1601627519881635
3dpi_CTRL,OPC,517,5407,0.09561679304605142
3dpi_CTRL,Oligodendrocyte,196,5407,0.0362493064545959
3dpi_CTRL,Pericyte,152,5407,0.028111707046421307
3dpi_CTRL,T_cell,271,5407,0.05012021453671167
5dpi_CTRL,Astrocyte,4889,21066,0.23208012911801007
5dpi_CTRL,B_cell,86,21066,0.004082407671128833
5dpi_CTRL,Endothelial,1954,21066,0.09275609987657837
5dpi_CTRL,Macrophage,619,21066,0.029383841260799393
5dpi_CTRL,Microglia,3226,21066,0.15313775752397227
5dpi_CTRL,Neuron,5465,21066,0.25942276654324503
5dpi_CTRL,OPC,321,21066,0.015237823981771575
5dpi_CTRL,Oligodendrocyte,3328,21066,0.15797968290135764
5dpi_CTRL,Pericyte,872,21066,0.041393714990980726
5dpi_CTRL,T_cell,306,21066,0.01452577613215608
Intact,Astrocyte,11976,25138,0.4764102156098337
Intact,B_cell,80,25138,0.003182432970005569
Intact,Endothelial,1564,25138,0.06221656456360888
Intact,Macrophage,471,25138,0.01873657411090779
Intact,Microglia,4406,25138,0.17527249582305673
Intact,Neuron,4311,25138,0.1714933566711751
Intact,OPC,493,25138,0.019611743177659322
Intact,Oligodendrocyte,806,25138,0.03206301217280611
Intact,Pericyte,907,25138,0.03608083379743814
Intact,T_cell,124,25138,0.004932771103508632
