gene,score,log2FC,padj
Fxyd5,50.73326,5.10511,0.0
Lgals3,48.980488,6.26265,0.0
Cd52,47.693443,2.9617865,0.0
Ifitm3,46.89436,4.3773003,0.0
Rps19,46.23361,1.6892483,0.0
Tspo,46.005764,2.981913,0.0
Vim,44.79387,4.7490754,0.0
Tmsb10,43.79277,3.3514786,0.0
Rpl41,43.65418,1.44637,0.0
Ifitm2,43.544086,4.015574,0.0
Anxa5,42.85916,3.2232523,0.0
Sh3bgrl3,42.674812,1.6952078,0.0
Gpx1,42.619164,2.2210546,0.0
Ms4a6c,42.60508,3.2612548,0.0
Crip1,42.60401,4.6791406,0.0
Rps2,42.26615,1.4998827,0.0
Rplp0,42.23701,1.5892963,0.0
Lgals1,41.933228,3.887102,0.0
Anxa2,41.847042,4.6128497,0.0
Ifi30,41.410656,2.508079,0.0
Emp3,40.78661,3.3320272,0.0
Arpc1b,40.7337,1.6108327,0.0
Serf2,40.6195,1.5005033,0.0
Atox1,39.576748,1.9466791,0.0
Plin2,39.52981,3.2808154,0.0
Msrb1,39.391502,3.7200243,0.0
Wfdc17,39.230087,3.6818635,0.0
Srgn,39.137947,2.1950927,0.0
Rps18,39.111298,1.3903444,0.0
Shfm1,38.853615,1.9265152,0.0
Lyz2,38.78835,3.2253935,0.0
Rpl32,38.691624,1.3746595,0.0
Pfn1,38.62734,1.5224408,0.0
Myl6,38.62606,1.624606,0.0
Rpl35,38.238262,1.5298564,0.0
Rps5,37.86424,1.3516213,0.0
Tagln2,37.521732,2.7982914,1.7448421248489938e-305
Ifi27l2a,37.448154,3.3435767,2.698224002151317e-304
H2-D1,37.120167,1.6687449,5.235111081066788e-299
S100a11,37.00946,4.304641,3.1165139484021455e-297
Lilrb4a,36.574726,3.5513756,2.682365516511873e-290
Pkm,36.4989,1.9505398,4.21143305751662e-289
Txn1,35.947983,2.2781224,1.8811110777759451e-280
Rpl10,35.856903,1.1013077,4.876381760064425e-279
Shisa5,35.76216,1.9663477,1.4296194570699407e-277
Cstb,35.399155,2.3535693,5.777154377920339e-272
Prdx1,35.20641,1.9211239,5.069689458158913e-269
Sec61b,35.070427,1.8548881,5.954330394619783e-267
S100a6,35.069557,3.900441,6.0432508950722484e-267
Rps6,34.78286,1.2656658,1.3187450452393285e-262
Rpl13,34.612686,1.0502362,4.7878682048578e-260
Gapdh,34.45942,1.4329485,9.292205610453427e-258
Atp5l,34.45533,1.4948798,1.0545900822907684e-257
Rpl31,34.444427,1.3894053,1.5141627594534571e-257
Fth1,34.337605,1.3589075,5.901578397626854e-256
Rps16,34.282364,1.1730366,3.8793892000203883e-255
Rpl15,34.245815,1.6298835,1.3402972972683996e-254
Cfl1,34.228878,1.1832324,2.3627963835570118e-254
Mrpl33,34.13832,2.190917,5.0997361254042895e-253
Rpl27,34.080933,1.5941716,3.5709725550161787e-252
Tmsb4x,34.07677,0.8617695,4.0637858607053865e-252
Capg,34.021564,3.5705123,2.6333344560869533e-251
Ucp2,33.921818,1.7006199,7.727195619321594e-250
Rps15a,33.581303,1.1948133,7.557207542505714e-245
Sepw1,33.482502,1.8671578,2.0321707656450928e-243
Rpl4,33.459133,1.3131996,4.39364301279833e-243
Tgfbi,33.447456,3.2751384,6.420282078571794e-243
Ldha,33.35019,1.8526697,1.6393007220479053e-241
Rps7,33.312202,1.2126911,5.755045103385031e-241
Tpm4,33.29415,2.601351,1.0386598134752422e-240
Eno1,33.233616,1.8365875,7.707924705946311e-240
Rpsa,33.22066,1.4674141,1.1728910390826891e-239
Actg1,33.208923,1.3556308,1.7137236967119907e-239
Rpl23a,33.111958,1.3849093,4.236078822168582e-238
Rps27l,33.024612,1.805492,7.54889870007553e-237
Rpl14,32.983356,1.161098,2.918391724473938e-236
Gsn,32.836914,3.3405972,3.5569912517439905e-234
Akr1a1,32.766964,1.5898126,3.499788769795997e-233
Taldo1,32.666588,1.682678,9.180146842334308e-232
Cd74,32.660057,4.4999013,1.1251660752391829e-231
Iqgap1,32.53606,3.0999691,6.368396744365249e-230
Cotl1,32.507896,1.4514698,1.5775069522085343e-229
Cyp4f18,32.4838,4.9362583,3.4211279148699834e-229
Rpl19,32.468327,1.0517417,5.603371317128384e-229
Prelid1,32.376305,1.9563798,1.0895301911290631e-227
Rpl8,32.320503,1.1057,6.575223443615566e-227
Pim1,32.315132,2.7501943,7.750798745085724e-227
H2afz,32.132183,1.6004777,2.8062934804333213e-224
B2m,32.125317,1.0939236,3.4683502150018337e-224
Rpl9,31.994493,1.0625902,2.2881376548716368e-222
AB124611,31.945936,3.6427178,1.0726894065519363e-221
Rps23,31.826902,0.98190564,4.749622878259889e-220
Npc2,31.726357,1.0961868,1.1529655396778816e-218
Rpl36al,31.657827,1.3884892,1.0050845152634302e-217
Spp1,31.551609,4.5591006,2.869759332337577e-216
Gng5,31.42654,1.3249463,1.4664076622488288e-214
Btf3,31.24204,1.3524867,4.741015633791663e-212
Rpl18,31.07389,1.1265967,8.765467431644753e-210
Arpc3,31.01257,1.2485276,5.798242603837967e-209
Ifi204,30.999863,2.854993,8.532743612534033e-209
