condition,cell_type_broad,n,total,proportion
7dpi,B_cell,238,13228,0.017992137889325674
7dpi,Cholangiocyte,32,13228,0.002419110976716057
7dpi,Dendritic_cell,203,13228,0.015346235258542486
7dpi,Endothelial,1366,13228,0.10326579981856668
7dpi,Fibroblast,5,13228,0.0003779860901118839
7dpi,Hepatic_stellate,503,13228,0.03802540066525552
7dpi,Hepatocyte,9002,13228,0.6805261566374358
7dpi,Kupffer_cell,1879,13228,0.14204717266404596
control,B_cell,191,12610,0.01514670896114195
control,Cholangiocyte,50,12610,0.003965107057890563
control,Dendritic_cell,170,12610,0.013481363996827915
control,Endothelial,1291,12610,0.10237906423473433
control,Fibroblast,18,12610,0.0014274385408406026
control,Hepatic_stellate,599,12610,0.04750198255352894
control,Hepatocyte,8788,12610,0.6969072164948453
control,Kupffer_cell,1503,12610,0.11919111816019033
