leiden_r05,Hepatocyte_pericentral,Hepatocyte_periportal,Hepatocyte_mid,Kupffer_cell,Monocyte_macrophage,Hepatic_stellate,Portal_fibroblast,Endothelial_LSEC,Endothelial_portal,Cholangiocyte,NK_NKT,T_cell,B_cell,Plasmacytoid_DC,Conventional_DC
0,0.28745137587854513,0.46916236406807793,1.521121262726496,0.10264471458448882,0.0049162000954090885,0.0035797726976676144,0.0012775340295617412,0.05489494448315627,0.0018054654803949452,-0.006534870014272638,0.008855058619258458,0.004378493812777677,-0.0006298553133856803,0.02039168870830761,0.06297265160467072
1,-0.028204461387243612,-0.05648958383015711,1.3350140786229687,-0.3168469350929176,-0.004853978717369744,-0.03060527621007311,-0.0038845772711019167,-0.32499185793675456,-0.024573481246313974,0.002057560900468224,-0.005267649363562091,-0.004638130060301255,-0.023527012934707544,0.015994644863528775,-0.16255509537434265
2,-0.061301531586501895,0.8535645698713796,0.9944244314711321,-0.2888291878123796,-0.0060241502608116395,-0.03716490037471013,-0.0024669534602419,-0.29641535029965016,-0.018154682564913503,-0.008935982172410846,-0.003757034437622606,-0.004572777577201799,-0.02127717205606267,-0.03912477428171815,-0.17721445141884096
3,0.023012152169181527,-0.07660019643368299,1.0839066045344898,0.8646725967607591,0.0023320841022245564,-0.025645572111604925,-0.0033831605789296235,0.04753688290371548,-0.015334942436784581,-0.014755216240618513,-0.0006377296199371848,-0.001371798973545952,-0.02049102486278291,-0.001853939529802821,0.44791006004098316
4,-0.02703774236356266,0.253078960248235,1.1206228763027821,-0.33835128355417177,-0.005564794750922848,-0.03551728432021412,-0.003435068354901239,-0.3134225903051491,-0.024880712700142145,0.022695892329889226,-0.005871926025053053,-0.005149857343420737,-0.027191535588950416,-0.025381111968789172,-0.1686827714750118
5,0.06907381601255752,-0.00023086841421021253,1.09323419337495,-0.14550472508569243,-0.005713506760487307,-0.024401760913978117,-0.004526544003320486,0.7831234141516192,0.13861991760619558,-0.010612007200433643,-0.0035048782346137437,-0.005200801126591795,-0.023886438764438994,0.01658983900203361,-0.06512967009025082
6,1.0040053510208884,-0.3551320217532211,1.0758969967146814,-0.31693635562489736,-0.007879842064834967,-0.036126869045202965,-0.003979921967645519,-0.3095308449567872,-0.02530667098822253,-0.01435504940669814,-0.006719983600879935,-0.006040127628502248,-0.021920835537846458,-0.021698963018265113,-0.18692738374489756
7,0.03219022860329083,-0.12175117081681382,0.9971495253219074,-0.11588205671185463,-0.010673585460320142,0.5866024219715563,0.004195480489471213,-0.11730388850135942,-0.021552800001408644,-0.015349234477523881,-0.017993677527667968,-0.014606314555342385,-0.044546009829925966,-0.0020840041801847274,-0.06313847887624197
8,0.10912882927423245,0.059056723726430935,1.1950834014700347,-0.034864927174727084,0.016883361450062955,-0.029501540884999202,0.05107483617829075,-0.10087025623782417,-0.02737166537523565,-0.011128273998863783,0.09798821355059638,0.12430919454344931,-0.024562102421117914,-0.028394579355601485,-0.007173025456798416
9,0.08793480183590018,0.10287389827497077,1.2274187179601,-0.04664441226395886,-0.008866136937152533,-0.02705426971883134,-0.004901167948114474,-0.0696937238141929,-0.014823975931699644,-0.009545705867258263,0.009163387057016132,-0.007765948688141024,0.785842122334341,-0.02019075794375582,0.4098090428972578
10,0.026587086069586544,0.04787283225401545,1.0945975680089701,-0.04628069507433599,0.12743640440325193,-0.03168092935681452,-0.0028578867527503,-0.07016050538684748,-0.002987221847858107,-0.014154047126634213,0.00010945232357153924,-0.0040279472264056464,-0.02103928596318614,0.08436565919012963,0.6196493230348901
11,-0.016189477533466348,-0.14442016013125156,0.8616431203801581,0.6351300935823772,0.0064621618673311055,-0.04469883212558598,-0.0064392457025270935,0.6907607460360156,0.04644003706057303,-0.022924317755597706,-0.0037508504413262048,0.0024417561842194685,-0.028659357263857606,0.015356924392934674,0.38023790758890463
12,-0.09439212787964427,-0.018259444837647736,1.0988506579980617,-0.12097226331246427,-0.015589078350764951,-0.04999634226130814,-0.0002974302400418411,-0.0944857279847308,-0.0061098767780676105,0.1798313466114242,-0.027605782538894716,-0.01742173385329363,-0.011604383738354,-0.012086986245178594,-0.04780815624609226
13,0.08950313280479097,0.09907471768650007,1.1220864591480773,-0.09719250893805144,0.017283047893900932,-0.016021088528420154,-0.009172859172271603,-0.08791403611501059,-0.02067632412714232,0.011760250013551594,-0.00022960418045765997,-0.004566196002096796,0.021896378567932636,-0.04038372264477451,0.018882471049273455
14,0.03476998638872389,0.039941841064140796,1.083261349995931,-0.3294532215464796,-0.010619173300893682,-0.04267691409998911,-0.004026073496244107,-0.3210029119357728,-0.021277774872138486,-0.011097746585544788,0.01819535729480766,-0.002650594160570736,0.002065055350895661,0.5314458789044654,-0.1294806954693376
15,0.0010912994031487338,-0.22708507278691167,1.0216822635263636,-0.14804322658123206,-0.037522459196007774,0.16361221516971922,0.3763779041041499,-0.1567992433257725,-0.027555839721707328,0.11185529307178829,-0.023560523995454764,-0.044076406230097225,-0.034485581573499735,0.004678106307983403,-0.14267966187518577
